XCoord,YCoord,A,P
-1.49225000,54.66937500,897.764843,120.177980
-1.49175000,54.66937500,897.764844,120.177980
-1.49125000,54.66937500,897.764843,120.177980
-1.49075000,54.66937500,897.764843,120.177980
-1.49025000,54.66937500,897.764843,120.177980
-1.48987500,54.66937500,448.882422,87.918347
-1.48487500,54.66935673,287.455839,89.217487
-1.71375000,54.66912500,2693.310960,231.495798
-1.71325000,54.66900000,1795.546117,175.837282
-1.71262500,54.66900000,2693.319175,208.097212
-1.71175000,54.66900000,1795.546117,175.837282
-1.49312500,54.66900000,897.773058,143.577352
-1.49275000,54.66900000,1795.546117,175.837282
-1.49225000,54.66900000,1795.546117,175.837282
-1.49175000,54.66900000,1795.546117,175.837282
-1.49125000,54.66900000,1795.546117,175.837282
-1.49075000,54.66900000,1795.546117,175.837282
-1.48487500,54.66905630,521.688774,146.503039
